empresa_planta,direccion,tipo,localidad,provincia,geojson
Aca Bio Coop. Ltda. - Villa Maria - Cordoba,CRUCE RUTA PROVINCIAL 2 Y AUTOPISTA CORDOBA-ROSARIO,PLANTA BIOETANOL,VILLA MARIA,CORDOBA,"{""type"":""Point"",""coordinates"":[-63.159694,-32.415731]}"
Advanced Organic Materials S.A. Pque Ind. Pilar - Pilar - Buenos Aires,PQUE.IND. PILAR CALLE14 NUM 507,PLANTA BIODIESEL,PILAR,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-58.97303,-34.401848]}"
Agro M y G S.A. - Saladillo - Buenos Aires,RUTA 205 KM 178.5,PLANTA BIODIESEL,SALADILLO,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-59.748444,-35.60038]}"
Aripar Cereales S.A. - Daireaux - Buenos Aires,"FAVALORO 50- PQUE. IND. DAIREAX 
",PLANTA BIODIESEL,DAIREAUX,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-61.732092,-36.596876]}"
B.H.Biocombustibles S.R.L. - Pque Ind. Calchaqui - Santa Fe,LOTE 9 Y 10 PQUE. INDUSTRIAL CALCHAQUI,PLANTA BIODIESEL,CALCHAQUI,SANTA FE,"{""type"":""Point"",""coordinates"":[-60.294431,-29.907175]}"
Bio Atar S.A. - Tucuman - Tucuman,,PLANTA BIOETANOL,,TUCUMAN,
Biobahia S.A. - Pque Ind. Bahia Blanca - Buenos Aires,"PQUE. INDUSTRIAL BAHIA BLANCA
",PLANTA BIODIESEL,JUNIN,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-62.288307,-38.7606]}"
Biobin S.A. - Junin - Buenos Aires,PARQUE INDUSTRIAL JUNIN,PLANTA BIODIESEL,JUNIN,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-60.923018,-34.552827]}"
Bioenergetica Leales S.A. - La Encantada - Leales - Tucuman,,PLANTA BIOETANOL,LEALES,TUCUMAN,"{""type"":""Point"",""coordinates"":[-65.228798,-27.073179]}"
Bioenergía La Corona S.A. - Concepción - Tucumán,INGENIO LA CORONA S/N,PLANTA BIOETANOL,CONCEPCION,TUCUMAN,"{""type"":""Point"",""coordinates"":[-65.60213,-27.356183]}"
