empresa,localidad,provincia,capacidad_diaria_toneladas_girasol,geojson,geom
S.E.D.A. S.A. ,Lezama,buenos aires,150,"{""type"":""Point"",""coordinates"":[-57.900071,-35.86994]}",0101000020E6100000FC89CA8635F34CC0BABDA4315AEF41C0
Nidera,Valentin Alsina,buenos aires,650,"{""type"":""Point"",""coordinates"":[-58.425044,-34.667653]}",0101000020E610000036AE7FD767364DC0C4094CA7755541C0
Vicentin SAIC (Planta Puerto),Puerto S. Lorenzo ,santa fe,1000,"{""type"":""Point"",""coordinates"":[-60.725907,-32.770805]}",0101000020E6100000FF774485EA5C4EC0F14BFDBCA96240C0
Buyatti S.A.I.C.A. ,Reconquista ,santa fe,150,"{""type"":""Point"",""coordinates"":[-59.665021,-29.141633]}",0101000020E61000009D137B681FD54DC0CC086F0F42243DC0
Tanoni Hnos. S.A.,Bombal ,santa fe,150,"{""type"":""Point"",""coordinates"":[-61.319222,-33.450629]}",0101000020E6100000F5143944DCA84EC089D00836AEB940C0
AFA (Agríc. Federados Args.) ,Los Cardos ,santa fe,150,"{""type"":""Point"",""coordinates"":[-61.633847,-32.328751]}",0101000020E610000078D503E621D14EC07EC34483142A40C0
Aceitera Gral. Deheza SAICA,Gral. Deheza,cordoba,700,"{""type"":""Point"",""coordinates"":[-63.790609,-32.750455]}",0101000020E61000002E76FBAC32E54FC0520FD1E80E6040C0
Oleag. Gral. Cabrera OLCA SA,Gral. Cabrera,cordoba,70,"{""type"":""Point"",""coordinates"":[-63.873196,-32.809447]}",0101000020E6100000BF7FF3E2C4EF4FC0336C94F59B6740C0
Gente de La Pampa SA,Catrilo,la pampa,130,"{""type"":""Point"",""coordinates"":[-63.434367,-36.4134]}",0101000020E610000017BB7D5699B74FC04D158C4AEA3442C0
Bunge Argentina S.A.,San Jernimo Sur ,santa fe,200,"{""type"":""Point"",""coordinates"":[-60.989226,-32.889046]}",0101000020E61000002C2D23F59E7E4EC0DF516342CC7140C0
Bunge Argentina S.A.,Pto. San Martn ,santa fe,500,"{""type"":""Point"",""coordinates"":[-60.727798,-32.713735]}",0101000020E61000000F0C207C285D4EC05A8121AB5B5B40C0
Arcor S.A.I.C. ,San Pedro ,buenos aires,23,"{""type"":""Point"",""coordinates"":[-59.678932,-33.698543]}",0101000020E61000009C1A683EE7D64DC0C4EC65DB69D940C0
Germaiz,San Justo,buenos aires,150,"{""type"":""Point"",""coordinates"":[-59.504641,-33.79873]}",0101000020E6100000419C871398C04DC0C32ADEC83CE640C0
Molino Cauelas S.A.C.I.F.I.A.,Cañuelas ,buenos aires,300,"{""type"":""Point"",""coordinates"":[-58.750133,-35.057576]}",0101000020E61000003F53AF5B04604DC06A847EA65E8741C0
Molinos Rio de la Plata S.A.,Rosario,santa fe,500,"{""type"":""Point"",""coordinates"":[-60.684153,-32.990087]}",0101000020E6100000EB3A545392574EC0EE98BA2BBB7E40C0
Oleos del Centro S.A.,Rio Tercero,cordoba,100,"{""type"":""Point"",""coordinates"":[-64.115519,-32.166926]}",0101000020E610000044C4CDA9640750C0116DC7D45D1540C0
Vicentin SAIC,Avellaneda,santa fe,240,"{""type"":""Point"",""coordinates"":[-59.642108,-29.121786]}",0101000020E6100000FF3F4E9830D24DC0541C075E2D1F3DC0
Ingredion S.A.,Chacabuco,buenos aires,50,"{""type"":""Point"",""coordinates"":[-60.490669,-34.621875]}",0101000020E61000009C14E63DCE3E4EC09A999999994F41C0
